customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID_0016,Female,0,Yes,Yes,44,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,99.72,6470.76,Yes
ID_0017,Female,0,No,Yes,6,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,No,Yes,One year,No,Bank transfer (automatic),78.4,4102.64,Yes
ID_0018,Female,1,Yes,No,26,Yes,No,DSL,No,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,39.08,238.67,No
ID_0019,Male,0,No,No,14,Yes,No phone service,DSL,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),76.4,4462.94,Yes
ID_0020,Female,1,Yes,No,8,No,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,109.19,7776.83,Yes
ID_0021,Male,0,Yes,No,24,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),97.88,840.77,Yes
ID_0022,Female,0,Yes,Yes,39,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),35.46,3025.23,Yes
ID_0023,Female,1,Yes,No,49,Yes,No,DSL,Yes,No,No,No internet service,Yes,No,One year,Yes,Electronic check,27.63,7214.13,No
ID_0024,Female,0,No,No,63,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Two year,No,Credit card (automatic),114.63,2221.48,Yes
ID_0025,Female,0,Yes,No,26,Yes,No,No,No,Yes,No,No,No internet service,Yes,Month-to-month,No,Electronic check,93.22,959.43,Yes
ID_0026,Female,0,No,No,10,Yes,No,No,No,No internet service,No,No,No,Yes,Month-to-month,No,Mailed check,101.4,3862.23,Yes
ID_0027,Female,0,No,Yes,58,Yes,No,DSL,No,Yes,No,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),108.73,7511.78,Yes
ID_0028,Female,0,No,No,14,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),65.18,2834.42,Yes
ID_0029,Female,0,Yes,Yes,71,Yes,No,DSL,No internet service,No,No,No internet service,No internet service,No,Month-to-month,No,Mailed check,106.09,7267.59,Yes
ID_0030,Male,0,Yes,Yes,39,No,Yes,Fiber optic,Yes,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,31.38,1003.16,Yes
ID_0031,Male,0,Yes,No,31,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,52.31,3547.56,Yes
ID_0032,Female,0,Yes,Yes,50,Yes,No phone service,DSL,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),52.57,4251.72,No
ID_0033,Female,0,No,No,16,No,No,No,Yes,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),21.84,3442.02,No
ID_0034,Female,0,Yes,Yes,51,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Electronic check,37.07,7708.72,Yes
ID_0035,Male,0,No,Yes,15,Yes,No,No,No,No,No internet service,No,Yes,Yes,One year,No,Mailed check,91.48,2727.72,Yes
ID_0036,Female,1,Yes,No,38,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),64.75,7507.8,No
ID_0037,Male,0,No,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),78.22,7241.73,No
ID_0038,Male,1,Yes,Yes,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),80.09,6772.12,No
ID_0039,Male,0,Yes,No,16,No,Yes,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,No,Credit card (automatic),39.44,2228.7,Yes
ID_0040,Male,0,No,Yes,67,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),111.36,3176.35,Yes
ID_0041,Male,0,Yes,Yes,65,Yes,No,No,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,32.31,4892.08,No
ID_0042,Female,0,No,No,13,No,Yes,Fiber optic,No,No,No,Yes,No,No internet service,One year,Yes,Credit card (automatic),18.57,1309.39,No
ID_0043,Female,0,Yes,Yes,64,No,Yes,Fiber optic,No,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),44.74,3795.86,No
ID_0044,Female,0,Yes,No,61,Yes,Yes,No,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),69.17,80.23,No
ID_0045,Female,0,No,Yes,32,Yes,Yes,Fiber optic,No,No,No,No,No internet service,Yes,Month-to-month,No,Mailed check,35.12,1913.89,No
ID_0046,Female,1,No,Yes,12,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),95.98,7564.13,Yes
ID_0047,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),39.33,109.72,Yes
ID_0048,Female,0,No,No,66,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),114.16,3248.8,Yes
ID_0049,Female,0,No,Yes,8,Yes,No phone service,DSL,No internet service,No,No internet service,No,No,Yes,One year,No,Mailed check,89.58,8068.18,No
ID_0050,Male,0,No,No,59,Yes,Yes,DSL,No internet service,No,No internet service,No,No internet service,Yes,One year,No,Electronic check,104.22,6864.76,No
ID_0051,Female,0,Yes,Yes,25,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),73.35,1308.79,No
ID_0052,Male,0,Yes,Yes,5,Yes,No,DSL,No internet service,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),73.87,2678.75,No
ID_0053,Female,1,No,No,45,Yes,Yes,No,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),116.22,6336.46,No
ID_0054,Male,0,No,Yes,2,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),30.02,4788.6,Yes
ID_0055,Female,0,Yes,No,42,No,No,DSL,No,No internet service,No,No internet service,Yes,Yes,Two year,No,Mailed check,76.63,6923.12,No
ID_0056,Female,0,Yes,Yes,38,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),25.09,1459.89,Yes
ID_0057,Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),117.77,3212.18,Yes
ID_0058,Male,0,No,No,46,No,No,Fiber optic,No,Yes,No,No,No internet service,No,Month-to-month,No,Electronic check,81.64,6576.88,Yes
ID_0059,Male,0,Yes,No,22,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,No,Electronic check,26.58,3594.72,Yes
ID_0060,Male,0,Yes,Yes,33,Yes,Yes,No,No,No,No internet service,No,No,Yes,One year,No,Electronic check,47.0,5778.49,No
ID_0061,Male,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,107.8,1714.72,Yes
ID_0062,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,26.44,5668.24,Yes
ID_0063,Male,0,Yes,No,56,Yes,No,No,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,45.8,1517.72,Yes
ID_0064,Male,0,Yes,No,3,No,No,DSL,No,No,No internet service,No,Yes,Yes,Month-to-month,No,Mailed check,69.0,6621.8,Yes
ID_0065,Female,0,No,No,70,Yes,No,No,No,No internet service,No internet service,Yes,No internet service,No,Two year,Yes,Credit card (automatic),117.0,4716.95,No
ID_0066,Female,0,No,No,49,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,No,Two year,No,Electronic check,39.18,3748.26,Yes
ID_0067,Male,1,Yes,No,55,Yes,No phone service,No,No internet service,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),97.88,629.92,No
ID_0068,Female,1,Yes,No,31,Yes,No,DSL,No,Yes,No,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),52.71,5782.22,Yes
ID_0069,Female,0,No,No,21,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),19.18,1667.54,No
ID_0070,Female,0,No,Yes,16,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No,Yes,Two year,Yes,Electronic check,96.86,1076.05,Yes
ID_0071,Female,0,No,No,17,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,67.48,1373.14,Yes
ID_0072,Male,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),66.48,1621.17,Yes
ID_0073,Female,1,No,No,65,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Mailed check,85.95,5952.18,No
ID_0074,Male,0,No,Yes,66,No,No,Fiber optic,No,Yes,No,No internet service,No,No,Month-to-month,Yes,Mailed check,83.63,4239.75,Yes
ID_0075,Female,1,Yes,No,37,Yes,No,Fiber optic,No,No,No internet service,Yes,Yes,No internet service,One year,No,Credit card (automatic),84.21,4067.75,Yes
ID_0076,Female,1,Yes,No,24,Yes,Yes,No,No,Yes,No,No internet service,Yes,Yes,Two year,No,Bank transfer (automatic),50.98,4030.2,Yes
ID_0077,Female,0,Yes,No,62,Yes,No,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),76.59,3586.87,No
ID_0078,Male,0,Yes,No,21,Yes,Yes,DSL,Yes,No,No,No,No internet service,No,One year,Yes,Bank transfer (automatic),106.46,4484.7,No
ID_0079,Female,0,No,No,37,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),108.01,1409.59,Yes
ID_0080,Male,1,Yes,No,35,Yes,No phone service,DSL,No,Yes,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),58.94,2475.62,Yes
ID_0081,Female,0,No,Yes,38,No,No phone service,No,No,No,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),41.69,887.71,No
ID_0082,Male,1,Yes,Yes,53,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Two year,No,Electronic check,25.78,7269.25,Yes
ID_0083,Female,0,Yes,Yes,15,No,No,Fiber optic,No,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,104.45,8684.12,Yes
ID_0084,Male,0,No,Yes,42,No,No,DSL,No,No,Yes,No internet service,No,No internet service,Two year,Yes,Electronic check,34.87,6116.78,No
ID_0085,Male,1,Yes,No,4,Yes,No,No,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),50.11,432.68,No
ID_0086,Female,0,Yes,No,39,Yes,Yes,No,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),99.84,4108.81,No
ID_0087,Male,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),96.99,75.93,No
ID_0088,Female,0,No,No,15,Yes,No,Fiber optic,Yes,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),61.91,2411.15,No
ID_0089,Female,0,Yes,No,12,Yes,Yes,DSL,No,Yes,No internet service,No internet service,Yes,No,Two year,No,Mailed check,87.96,715.18,Yes
ID_0090,Female,0,No,No,70,Yes,No phone service,Fiber optic,No internet service,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),42.23,3660.68,Yes
ID_0091,Female,0,Yes,No,54,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),111.7,3758.39,Yes
ID_0092,Female,1,No,Yes,38,Yes,Yes,DSL,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),113.89,1547.11,No
ID_0093,Female,1,Yes,No,28,Yes,Yes,No,No internet service,No,No internet service,Yes,No internet service,No,Two year,No,Bank transfer (automatic),112.94,7206.86,No
ID_0094,Female,0,No,Yes,19,Yes,No,No,Yes,Yes,No internet service,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),80.87,6666.97,Yes
ID_0095,Female,0,No,No,69,Yes,No phone service,DSL,Yes,No internet service,No,No,No,No,Two year,No,Electronic check,25.43,7185.86,No
ID_0096,Female,0,No,No,64,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),79.91,4752.57,Yes
ID_0097,Female,0,No,No,4,Yes,No,No,Yes,Yes,No,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),60.64,90.14,Yes
ID_0098,Female,1,Yes,Yes,10,No,No,No,No,No,Yes,No internet service,Yes,No,One year,No,Mailed check,57.97,8024.16,No
ID_0099,Male,0,No,No,12,Yes,No,DSL,No,No internet service,Yes,No,No internet service,No,Two year,Yes,Electronic check,21.06,7983.89,Yes
ID_0100,Male,0,Yes,No,69,No,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),106.09,4730.44,Yes
ID_0101,Female,0,No,Yes,7,Yes,Yes,No,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),104.45,7851.44,Yes
ID_0102,Female,0,Yes,Yes,44,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),50.8,2330.62,No
ID_0103,Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,Yes,One year,Yes,Electronic check,116.5,4500.62,Yes
ID_0104,Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,No internet service,Two year,No,Electronic check,31.9,5991.63,No
ID_0105,Female,0,Yes,No,37,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Mailed check,102.19,4377.23,Yes
ID_0106,Female,0,Yes,No,69,Yes,Yes,DSL,No,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,80.74,7379.65,Yes
ID_0107,Female,0,No,No,20,No,No,No,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),67.07,4715.34,No
ID_0108,Female,0,Yes,Yes,44,Yes,Yes,DSL,No,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),115.08,1468.52,Yes
ID_0109,Male,0,Yes,No,70,No,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),76.85,7203.22,No
ID_0110,Female,0,No,No,51,Yes,No,Fiber optic,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,102.04,6145.83,Yes
ID_0111,Male,0,Yes,Yes,31,No,No phone service,DSL,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),41.59,4461.29,Yes
ID_0112,Female,0,No,Yes,41,Yes,No,DSL,No,Yes,No internet service,No,No,Yes,One year,Yes,Mailed check,21.49,4331.99,Yes
ID_0113,Female,0,No,Yes,58,Yes,No phone service,No,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,39.47,6006.44,No
ID_0114,Male,0,No,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),117.58,5773.59,Yes
ID_0115,Female,1,No,No,33,No,No,Fiber optic,No,No internet service,No internet service,Yes,No,No,Month-to-month,No,Electronic check,74.66,2284.17,No
ID_0116,Male,1,Yes,Yes,43,Yes,Yes,No,No,No,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,102.86,6515.44,Yes
ID_0117,Female,0,Yes,No,19,Yes,No,DSL,No internet service,No internet service,No internet service,No,No,No,Month-to-month,Yes,Electronic check,87.09,7426.42,Yes
ID_0118,Female,1,Yes,No,32,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,No,One year,Yes,Credit card (automatic),33.77,2065.21,No
ID_0119,Male,0,No,No,3,Yes,No,DSL,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,29.67,3916.26,No
ID_0120,Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,67.03,2658.5,Yes
ID_0121,Male,0,Yes,Yes,41,Yes,Yes,DSL,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Mailed check,112.93,1560.35,No
ID_0122,Female,0,Yes,Yes,48,Yes,No,No,Yes,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Electronic check,31.62,817.32,Yes
ID_0123,Male,0,No,No,39,Yes,No phone service,Fiber optic,No,Yes,No,No,No internet service,No,Two year,No,Bank transfer (automatic),68.69,7203.35,No
ID_0124,Male,0,Yes,Yes,5,No,Yes,Fiber optic,No,Yes,No,No internet service,Yes,Yes,Two year,Yes,Mailed check,94.61,1979.71,Yes
ID_0125,Female,0,No,No,11,No,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),26.18,5456.72,Yes
ID_0126,Female,0,Yes,No,22,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No internet service,No,One year,Yes,Mailed check,59.15,3805.93,No
ID_0127,Male,0,Yes,No,64,Yes,No,No,No internet service,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,72.12,4392.65,No
ID_0128,Female,1,Yes,No,12,Yes,No phone service,DSL,No,Yes,No,No internet service,No,Yes,Two year,No,Bank transfer (automatic),29.27,4655.94,Yes
ID_0129,Female,0,No,No,53,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No,Two year,Yes,Mailed check,84.2,5377.25,Yes
ID_0130,Female,0,No,No,55,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,92.5,6921.86,Yes
ID_0131,Male,0,Yes,No,53,Yes,Yes,No,No internet service,No,Yes,No,Yes,Yes,Two year,No,Mailed check,82.52,1550.73,Yes
ID_0132,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,No,Month-to-month,No,Mailed check,25.7,2737.29,Yes
ID_0133,Male,0,No,No,19,Yes,No,DSL,No,No,No internet service,Yes,No internet service,No,One year,Yes,Bank transfer (automatic),18.91,1004.07,No
ID_0134,Male,0,Yes,No,69,Yes,No,Fiber optic,Yes,Yes,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),98.5,6052.49,No
ID_0135,Male,0,Yes,Yes,66,Yes,No phone service,No,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,67.49,2732.21,Yes
ID_0136,Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,No internet service,Yes,Two year,Yes,Electronic check,75.05,6903.8,No
ID_0137,Male,0,Yes,No,49,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,No,No internet service,Month-to-month,Yes,Mailed check,109.4,6320.76,Yes
ID_0138,Male,0,Yes,No,59,Yes,No,DSL,No,No,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,74.45,392.43,Yes
ID_0139,Male,0,Yes,No,23,Yes,No phone service,DSL,Yes,No internet service,No,Yes,No internet service,No,Two year,No,Mailed check,43.73,901.98,No
ID_0140,Female,0,Yes,No,3,Yes,Yes,DSL,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),63.23,5239.1,Yes
ID_0141,Male,0,No,Yes,56,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,No internet service,Two year,No,Credit card (automatic),66.97,6100.16,No
ID_0142,Female,0,Yes,No,58,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),86.76,3231.42,Yes
ID_0143,Female,1,No,No,62,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,53.6,1747.39,No
ID_0144,Female,1,Yes,No,18,Yes,Yes,No,No,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,102.65,1391.74,Yes
ID_0145,Male,1,No,No,61,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,72.1,2103.25,Yes
ID_0146,Male,0,Yes,No,37,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No,No,Two year,Yes,Electronic check,73.09,1458.55,No
ID_0147,Male,0,No,No,54,Yes,No,Fiber optic,No internet service,No,Yes,No,No,No,Two year,Yes,Mailed check,94.62,2802.72,Yes
ID_0148,Male,0,Yes,No,65,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),26.49,4269.8,No
ID_0149,Female,0,No,No,14,No,Yes,Fiber optic,Yes,Yes,No,No,No,No internet service,Two year,Yes,Bank transfer (automatic),107.5,5893.86,Yes
ID_0150,Male,0,Yes,No,5,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,37.79,7530.19,Yes
ID_0151,Male,0,Yes,Yes,62,Yes,No,DSL,No,No,No internet service,No,No,Yes,Month-to-month,No,Mailed check,51.7,6298.0,No
ID_0152,Male,1,No,No,1,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Mailed check,27.46,5669.87,Yes
ID_0153,Male,0,No,No,63,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,No,Electronic check,65.59,6842.76,No
ID_0154,Male,1,Yes,No,67,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),52.24,7854.85,No
ID_0155,Female,0,No,No,20,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),39.97,2010.8,No
ID_0156,Male,0,Yes,No,43,Yes,No,No,No,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),36.0,5413.35,No
ID_0157,Female,0,Yes,No,42,Yes,No,No,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,32.3,345.63,Yes
ID_0158,Male,0,No,No,69,Yes,No,No,No,No,No internet service,No,No,No,One year,Yes,Bank transfer (automatic),24.63,8612.54,No
ID_0159,Female,0,Yes,No,39,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),39.89,7453.01,No
ID_0160,Male,0,No,Yes,62,Yes,Yes,No,No,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),18.65,3217.1,No
ID_0161,Male,0,Yes,No,48,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26.49,5350.88,Yes
ID_0162,Female,0,No,Yes,6,Yes,Yes,No,No,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,115.4,4744.21,Yes
ID_0163,Female,1,No,Yes,42,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,Yes,Two year,No,Electronic check,58.64,7334.32,Yes
ID_0164,Female,0,No,No,58,Yes,Yes,No,No internet service,No,Yes,No internet service,No internet service,No,One year,Yes,Electronic check,110.54,4164.65,No
ID_0165,Male,1,No,No,43,No,Yes,DSL,No internet service,No internet service,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),58.41,1158.07,No
ID_0166,Female,0,Yes,Yes,10,Yes,No,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,One year,No,Mailed check,96.55,4180.62,Yes
ID_0167,Male,0,No,No,39,Yes,Yes,No,Yes,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,88.53,1044.46,Yes
ID_0168,Male,0,Yes,No,13,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),34.55,7017.56,No
ID_0169,Female,0,No,Yes,39,Yes,Yes,DSL,No internet service,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),65.29,1459.99,No
ID_0170,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),30.47,3218.19,Yes
ID_0171,Male,0,Yes,No,16,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),59.05,937.26,Yes
ID_0172,Male,0,No,No,33,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,46.64,3299.6,Yes
ID_0173,Female,0,Yes,No,60,Yes,No,Fiber optic,No internet service,No,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),80.29,8367.07,Yes
